,row.,user_id,vehicle_model_id,package_id,travel_type_id,from_area_id,to_area_id,from_city_id,to_city_id,from_date,to_date,online_booking,mobile_site_booking,booking_created,from_lat,from_long,to_lat,to_long,Car_Cancellation
1,1,17712,12,NA,2,1021,1323,NA,NA,1/1/13 22:33,,0,0,1/1/13 8:01,13.02853,77.54625,12.869805,77.653211,0
2,2,17037,12,NA,2,455,1330,NA,NA,1/1/13 12:43,,0,0,1/1/13 9:59,12.999874,77.67812,12.953434,77.70651,0
3,3,761,12,NA,2,814,393,NA,NA,1/2/13 0:28,1/3/13 0:00,1,0,1/1/13 12:14,12.908993,77.6889,13.19956,77.70688,0
4,4,868,12,NA,2,297,212,NA,NA,1/1/13 13:12,,0,0,1/1/13 12:42,12.99789,77.61488,12.99474,77.60797,0
5,5,21716,28,NA,2,1237,330,NA,NA,1/1/13 16:33,,0,0,1/1/13 15:07,12.92645,77.61206,12.858833,77.589127,0
6,6,38966,12,NA,2,61,393,NA,NA,1/1/13 18:00,,0,0,1/1/13 15:11,12.96298,77.71229,13.19956,77.70688,0
7,7,22196,12,NA,2,409,1194,NA,NA,1/1/13 16:19,,0,0,1/1/13 15:40,13.07746,77.60668,13.00446,77.56923,0
8,8,22200,12,NA,2,1371,839,NA,NA,1/2/13 10:33,,1,0,1/1/13 17:21,13.000418,77.674835,12.85773,77.78642,0
9,9,22201,12,1,3,1323,NA,NA,NA,1/1/13 19:55,1/1/13 0:00,1,0,1/1/13 17:25,12.869805,77.653211,NA,NA,0
10,10,22202,12,NA,2,1017,496,NA,NA,1/2/13 5:02,,0,0,1/1/13 17:30,13.11084,77.60074,13.05845,77.64075,0
11,11,22203,12,NA,2,1373,1390,NA,NA,1/1/13 18:28,,0,0,1/1/13 17:54,13.037255,77.58166,12.969368,77.641302,0
12,12,819,12,NA,2,1323,585,NA,NA,1/2/13 16:04,,1,0,1/1/13 18:38,12.869805,77.653211,12.97677,77.5727,0
13,13,15846,12,2,3,142,NA,NA,NA,1/2/13 3:07,,0,0,1/1/13 19:37,12.91281,77.60923,NA,NA,0
14,14,3316,24,NA,2,58,393,NA,NA,1/2/13 17:31,,0,0,1/1/13 20:39,12.88963,77.60119,13.19956,77.70688,0
15,15,19469,85,NA,2,393,392,NA,NA,1/2/13 12:14,,0,0,1/1/13 21:04,13.19956,77.70688,12.986284,77.735245,0
16,16,15815,12,NA,2,145,871,NA,NA,1/2/13 8:09,,0,0,1/1/13 21:31,12.99067,77.65587,12.98712,77.56624,0
17,17,21903,12,NA,2,1384,1053,NA,NA,1/2/13 6:14,,1,0,1/1/13 21:54,13.02853,77.54625,12.912799,77.589784,0
18,18,7500,12,NA,2,112,393,NA,NA,1/2/13 8:38,,0,0,1/1/13 22:41,12.93331,77.56666,13.19956,77.70688,0
